id,name,description,unit,price_per_unit,category,image_url,created_at,barcode,homedepot_url,homedepot_sku
168,"1-1/2"" LL Conduit Body",1-1/2-inch EMT LL conduit body with cover.,unit,17.00,Solar,,2026-03-12 03:06:52.437934,,,
169,"2"" LL Conduit Body",2-inch EMT LL conduit body with cover.,unit,24.00,Solar,,2026-03-12 03:06:52.441487,,,
170,"1/2"" LR Conduit Body",1/2-inch EMT LR conduit body with cover. For 90° right-turn direction changes.,unit,5.50,Solar,,2026-03-12 03:06:52.445328,,,
171,"3/4"" LR Conduit Body",3/4-inch EMT LR conduit body with cover. For 90° right-turn direction changes.,unit,7.00,Solar,,2026-03-12 03:06:52.448779,,,
172,"1"" LR Conduit Body",1-inch EMT LR conduit body with cover.,unit,9.50,Solar,,2026-03-12 03:06:52.452714,,,
173,"1-1/4"" LR Conduit Body",1-1/4-inch EMT LR conduit body with cover.,unit,13.00,Solar,,2026-03-12 03:06:52.456699,,,
174,"1-1/2"" LR Conduit Body",1-1/2-inch EMT LR conduit body with cover.,unit,17.00,Solar,,2026-03-12 03:06:52.461147,,,
175,"2"" LR Conduit Body",2-inch EMT LR conduit body with cover.,unit,24.00,Solar,,2026-03-12 03:06:52.464583,,,
176,Siemens 15A Single Pole Breaker,Siemens Q115 15-amp single pole circuit breaker. Plug-in type for Siemens and Murray load centers. UL listed.,piece,11.00,Electrical,,2026-03-12 22:38:41.417532,,,
177,Siemens 20A Single Pole Breaker,Siemens Q120 20-amp single pole circuit breaker. For branch circuits in Siemens and Murray panels. UL listed.,piece,12.00,Electrical,,2026-03-12 22:38:41.602036,,,
178,Siemens 30A Single Pole Breaker,Siemens Q130 30-amp single pole circuit breaker. For dedicated appliance circuits in Siemens load centers.,piece,14.00,Electrical,,2026-03-12 22:38:41.606868,,,
179,Siemens 40A Single Pole Breaker,Siemens Q140 40-amp single pole circuit breaker. For larger branch circuits in Siemens and Murray panels.,piece,17.00,Electrical,,2026-03-12 22:38:41.610255,,,
180,Siemens 50A Single Pole Breaker,Siemens Q150 50-amp single pole circuit breaker. For high-current circuits in Siemens load centers.,piece,21.00,Electrical,,2026-03-12 22:38:41.613092,,,
181,Siemens 60A Single Pole Breaker,Siemens Q160 60-amp single pole circuit breaker. For main disconnect and large branch circuits.,piece,25.00,Electrical,,2026-03-12 22:38:41.616957,,,
182,Siemens 15A Double Pole Breaker,Siemens Q215 15-amp double pole circuit breaker for 240V circuits in Siemens and Murray load centers.,piece,21.00,Electrical,,2026-03-12 22:38:41.620898,,,
183,Siemens 20A Double Pole Breaker,Siemens Q220 20-amp double pole circuit breaker. For 240V appliance circuits in Siemens panels.,piece,24.00,Electrical,,2026-03-12 22:38:41.624159,,,
184,Siemens 30A Double Pole Breaker,"Siemens Q230 30-amp double pole circuit breaker. For dryers, water heaters, and 240V circuits.",piece,27.00,Electrical,,2026-03-12 22:38:41.627705,,,
185,Siemens 40A Double Pole Breaker,"Siemens Q240 40-amp double pole circuit breaker. For ranges, AC units, and large 240V loads.",piece,33.00,Electrical,,2026-03-12 22:38:41.630682,,,
186,Siemens 50A Double Pole Breaker,"Siemens Q250 50-amp double pole circuit breaker. For electric ranges, EV chargers, and high-load 240V circuits.",piece,39.00,Electrical,,2026-03-12 22:38:41.633673,,,
187,Siemens 60A Double Pole Breaker,Siemens Q260 60-amp double pole circuit breaker. For sub-panel feeds and large 240V service connections.,piece,46.00,Electrical,,2026-03-12 22:38:41.636465,,,
188,Eaton 15A Single Pole Breaker,Eaton BR115 15-amp single pole circuit breaker. For Eaton BR and CH load centers. UL listed.,piece,12.00,Electrical,,2026-03-12 22:38:41.64006,,,
189,Eaton 20A Single Pole Breaker,"Eaton BR120 20-amp single pole circuit breaker. For kitchen, bath, and branch circuits in Eaton panels.",piece,13.00,Electrical,,2026-03-12 22:38:41.642726,,,
190,Eaton 30A Single Pole Breaker,Eaton BR130 30-amp single pole circuit breaker. For dedicated appliance circuits in Eaton BR panels.,piece,15.00,Electrical,,2026-03-12 22:38:41.645336,,,
191,Eaton 40A Single Pole Breaker,Eaton BR140 40-amp single pole circuit breaker. For larger branch circuits in Eaton load centers.,piece,18.00,Electrical,,2026-03-12 22:38:41.647573,,,
192,Eaton 50A Single Pole Breaker,Eaton BR150 50-amp single pole circuit breaker. For high-current branch circuits in Eaton BR panels.,piece,22.00,Electrical,,2026-03-12 22:38:41.650559,,,
193,Eaton 60A Single Pole Breaker,Eaton BR160 60-amp single pole circuit breaker. For main disconnects and large dedicated circuits.,piece,27.00,Electrical,,2026-03-12 22:38:41.653341,,,
194,Eaton 15A Double Pole Breaker,Eaton BR215 15-amp double pole circuit breaker for 240V circuits in Eaton BR load centers.,piece,23.00,Electrical,,2026-03-12 22:38:41.655695,,,
195,Eaton 20A Double Pole Breaker,Eaton BR220 20-amp double pole circuit breaker. For 240V appliances in Eaton BR panels.,piece,26.00,Electrical,,2026-03-12 22:38:41.658681,,,
196,Eaton 30A Double Pole Breaker,"Eaton BR230 30-amp double pole circuit breaker. For dryers, water heaters, and 240V loads in Eaton panels.",piece,29.00,Electrical,,2026-03-12 22:38:41.661843,,,
197,Eaton 40A Double Pole Breaker,"Eaton BR240 40-amp double pole circuit breaker. For ranges, AC units, and large 240V loads.",piece,35.00,Electrical,,2026-03-12 22:38:41.664283,,,
198,Eaton 50A Double Pole Breaker,"Eaton BR250 50-amp double pole circuit breaker. For electric ranges, EV chargers, and 240V high-load circuits.",piece,42.00,Electrical,,2026-03-12 22:38:41.666843,,,
199,Eaton 60A Double Pole Breaker,Eaton BR260 60-amp double pole circuit breaker. For sub-panel feeds and large 240V service connections.,piece,50.00,Electrical,,2026-03-12 22:38:41.67209,,,
200,Square D 15A Single Pole Breaker,Square D HOM115 Homeline 15-amp single pole circuit breaker. For Square D Homeline panels. UL listed.,piece,13.00,Electrical,,2026-03-12 22:38:41.675725,,,
201,Square D 20A Single Pole Breaker,"Square D HOM120 Homeline 20-amp single pole circuit breaker. For kitchen, bath, and general branch circuits.",piece,14.00,Electrical,,2026-03-12 22:38:41.679255,,,
202,Square D 30A Single Pole Breaker,Square D HOM130 Homeline 30-amp single pole circuit breaker. For dedicated appliance circuits in Square D panels.,piece,16.00,Electrical,,2026-03-12 22:38:41.681878,,,
203,Square D 40A Single Pole Breaker,Square D HOM140 Homeline 40-amp single pole circuit breaker. For larger branch circuits in Square D load centers.,piece,19.00,Electrical,,2026-03-12 22:38:41.684724,,,
204,Square D 50A Single Pole Breaker,Square D HOM150 Homeline 50-amp single pole circuit breaker. For high-current circuits in Square D panels.,piece,24.00,Electrical,,2026-03-12 22:38:41.687605,,,
205,Square D 60A Single Pole Breaker,Square D HOM160 Homeline 60-amp single pole circuit breaker. For main disconnects and large dedicated circuits.,piece,29.00,Electrical,,2026-03-12 22:38:41.690299,,,
206,Square D 15A Double Pole Breaker,Square D HOM215 Homeline 15-amp double pole circuit breaker for 240V circuits in Square D panels.,piece,25.00,Electrical,,2026-03-12 22:38:41.692716,,,
207,Square D 20A Double Pole Breaker,Square D HOM220 Homeline 20-amp double pole circuit breaker. For 240V appliances in Square D Homeline panels.,piece,28.00,Electrical,,2026-03-12 22:38:41.696027,,,
208,Square D 30A Double Pole Breaker,"Square D HOM230 Homeline 30-amp double pole circuit breaker. For dryers, water heaters, and 240V loads.",piece,31.00,Electrical,,2026-03-12 22:38:41.701418,,,
209,Square D 40A Double Pole Breaker,"Square D HOM240 Homeline 40-amp double pole circuit breaker. For ranges, AC units, and large 240V loads.",piece,37.00,Electrical,,2026-03-12 22:38:41.704934,,,
210,Square D 50A Double Pole Breaker,"Square D HOM250 Homeline 50-amp double pole circuit breaker. For electric ranges, EV chargers, and 240V circuits.",piece,45.00,Electrical,,2026-03-12 22:38:41.708265,,,
211,Square D 60A Double Pole Breaker,Square D HOM260 Homeline 60-amp double pole circuit breaker. For sub-panel feeds and large 240V service connections.,piece,54.00,Electrical,,2026-03-12 22:38:41.712244,,,
